Country,Population,Density,PPP
Trinidad and Tobago,1400283,273,26125.15329
Estonia,1326693,31,37645.22136
Timor-Leste,1322667,89,4140.95507
Mauritius,1272140,626,20528.83365
Cyprus,1208886,131,39593.42578
Eswatini,1162233,67,8865.017138
Djibouti,990447,43,5532.682123
Fiji,897573,49,12158.24331
R̩union,896422,358,#N/A
Comoros,872695,467,3147.856597
Guyana,787215,4,19702.97442
Bhutan,773069,20,11129.30845
Solomon Islands,689671,25,2618.323702
Macao,650846,21645,60890.54906
Montenegro,628080,47,19989.65367
Luxembourg,627704,242,117846.1365
Sahara,599769,2,3892.035464
Suriname,587541,4,16733.38268
Cabo Verde,557026,138,6376.122279
Maldives,542151,1802,13442.38615
Malta,441750,1380,43243.17265
Brunei,438202,83,65607.35075
Guadeloupe,400136,237,26855
Belize,398845,17,6165.849669
Bahamas,393893,39,29064.7595
Martinique,375213,354,1546
Iceland,341628,3,53616.68471
Vanuatu,308337,25,3036.116767
French Guiana,299958,4,19756.87
Barbados,287437,668,14045.77283
New Caledonia,285972,16,14564
French Polynesia,281191,77,#N/A
Mayotte,273905,728,1345.87
Sao Tome & Principe,219844,228,4273.49342
Samoa,198643,70,6764.559991
Saint Lucia,183774,301,12708.79451
Channel Islands,174140,915,2343.34
Guam,169031,313,87908.45
Cura̤ao,164211,370,20681.24471
Kiribati,119760,147,2171.867943
Micronesia,115231,164,3552.596037
Grenada,112614,331,15273.54036
St. Vincent & Grenadines,111002,284,13402.57954
Aruba,106845,593,31182.83388
Tonga,105901,147,6693.785641
U.S. Virgin Islands,104398,298,77564.334
Seychelles,98453,214,28338.97714
Antigua and Barbuda,98069,223,18240.38041
Isle of Man,85112,149,74984.34
Andorra,77287,164,784.87
Dominica,72017,96,10818.02494
Cayman Islands,65854,274,72481.01386
Bermuda,62237,1246,80273.08171
Marshall Islands,59259,329,4147.097245
Northern Mariana Islands,57619,125,1600.45
Greenland,56787,0,54470.96
American Samoa,55169,276,#N/A
Saint Kitts & Nevis,53264,205,25639.2396
Faeroe Islands,48896,35,#N/A
Sint Maarten,42960,1261,#N/A
Monaco,39290,26337,#N/A
Turks and Caicos,38806,41,22283.97785
Saint Martin,38778,730,#N/A
Liechtenstein,38147,238,#N/A
San Marino,33944,566,59571.9068
Gibraltar,33689,3369,61700.89
British Virgin Islands,30266,202,56098.34
Caribbean Netherlands,26265,80,15670.60042
Palau,18109,39,16318.67895
Cook Islands,17567,73,#N/A
Anguilla,15026,167,12453.45
Tuvalu,11817,393,4791.679265
Wallis & Futuna,11203,80,#N/A
Nauru,10836,541,14337.26541
Saint Barthelemy,9882,470,#N/A
Saint Helena,6080,16,#N/A
Saint Pierre & Miquelon,5789,25,#N/A
Montserrat,4993,50,#N/A
Falkland Islands,3497,0,#N/A
Niue,1628,6,#N/A
Tokelau,1360,136,#N/A
Holy See,801,2003,#N/A
