Date,Close,Open,High,Low,Volume
18/12/2017,44.105,43.720001,44.299999,43.715,117684400
19/12/2017,43.634998,43.7575,43.8475,43.522499,109745600
20/12/2017,43.587502,43.717499,43.855,43.3125,93902400
21/12/2017,43.752499,43.5425,44.005001,43.525002,83799600
22/12/2017,43.752499,43.669998,43.855,43.625,65397600
26/12/2017,42.642502,42.700001,42.8675,42.419998,132742000
27/12/2017,42.650002,42.525002,42.695,42.427502,85992800
28/12/2017,42.77,42.75,42.962502,42.619999,65920800
29/12/2017,42.307499,42.630001,42.647499,42.305,103999600
02/01/2018,43.064999,42.540001,43.075001,42.314999,102223600
03/01/2018,43.057499,43.1325,43.637501,42.990002,118071600
04/01/2018,43.2575,43.134998,43.3675,43.02,89738400
05/01/2018,43.75,43.360001,43.842499,43.262501,94640000
08/01/2018,43.587502,43.587502,43.9025,43.482498,82271200
09/01/2018,43.5825,43.637501,43.764999,43.352501,86336000
10/01/2018,43.572498,43.290001,43.575001,43.25,95839600
11/01/2018,43.82,43.647499,43.872501,43.622501,74670800
12/01/2018,44.272499,44.044998,44.34,43.912498,101672400
16/01/2018,44.047501,44.474998,44.8475,44.035,118263600
17/01/2018,44.775002,44.037498,44.8125,43.767502,137547200
18/01/2018,44.814999,44.842499,45.025002,44.5625,124773600
19/01/2018,44.615002,44.6525,44.895,44.352501,129700400
22/01/2018,44.25,44.325001,44.445,44.150002,108434400
23/01/2018,44.259998,44.325001,44.860001,44.205002,130756400
24/01/2018,43.555,44.3125,44.325001,43.299999,204420400
25/01/2018,42.7775,43.627499,43.737499,42.6325,166116000
26/01/2018,42.877499,43,43,42.514999,156572000
29/01/2018,41.990002,42.540001,42.540001,41.767502,202561600
30/01/2018,41.7425,41.3825,41.842499,41.174999,184192800
31/01/2018,41.857498,41.717499,42.110001,41.625,129915600
01/02/2018,41.945,41.7925,42.154999,41.689999,188923200
02/02/2018,40.125,41.5,41.700001,40.025002,346375200
05/02/2018,39.122501,39.775002,40.970001,39,290954000
06/02/2018,40.7575,38.7075,40.93,38.5,272975200
07/02/2018,39.884998,40.772499,40.849998,39.767502,206434400
08/02/2018,38.787498,40.072498,40.25,38.7575,217562000
09/02/2018,39.102501,39.267502,39.4725,37.560001,282690400
12/02/2018,40.677502,39.625,40.9725,39.377499,243278000
13/02/2018,41.084999,40.487499,41.1875,40.412498,130196800
14/02/2018,41.842499,40.759998,41.884998,40.720001,162579600
15/02/2018,43.247501,42.447498,43.272499,42.25,204588800
